,Rank,team,nrfi_2023,last_3,last_1,home,away,nrfi_2022,date,2024,2025,rolling_last_3_avg,nrfi_hit
3829,20,Arizona,0.75,0.0,0.0,0.7333,0.7667,0.716,2021-03-01,,,0.0,0
3859,20,Arizona,0.75,0.0,0.0,0.7333,0.7667,0.716,2021-03-16,,,0.0,0
3889,20,Arizona,0.75,0.0,0.0,0.7333,0.7667,0.716,2021-03-31,,,0.0,1
3924,23,Arizona,0.8332999999999999,1.0,1.0,1.0,0.7143,0.75,2021-04-15,,,0.3333333333333333,1
3948,17,Arizona,0.76,1.0,1.0,1.0,0.6470999999999999,0.75,2021-04-30,,,0.6666666666666666,1
3984,25,Arizona,0.7948999999999999,0.6667000000000001,1.0,0.875,0.7391,0.75,2021-05-15,,,0.8889,1
4016,27,Arizona,0.7925,0.6667000000000001,1.0,0.7826000000000001,0.8,0.75,2021-05-30,,,0.7778,1
4048,29,Arizona,0.8029999999999999,1.0,1.0,0.8,0.8056,0.75,2021-06-14,,,0.7778,1
4079,30,Arizona,0.8,0.6667000000000001,1.0,0.8332999999999999,0.7726999999999999,0.75,2021-06-29,,,0.7778,1
4109,30,Arizona,0.8151999999999999,1.0,1.0,0.8371999999999999,0.7959,0.75,2021-07-14,,,0.8889,1
4139,30,Arizona,0.835,1.0,1.0,0.8571,0.8148000000000001,0.75,2021-07-29,,,0.8889,1
4169,30,Arizona,0.8448,1.0,1.0,0.8595999999999999,0.8305,0.75,2021-08-13,,,1.0,1
4199,30,Arizona,0.8538,1.0,1.0,0.8571,0.8506999999999999,0.75,2021-08-28,,,1.0,0
4229,30,Arizona,0.8521,0.6667000000000001,0.0,0.8592,0.8451000000000001,0.75,2021-09-12,,,0.8889,1
4259,30,Arizona,0.8462000000000001,0.6667000000000001,1.0,0.8462000000000001,0.8462000000000001,0.75,2021-09-27,,,0.7778,1
4289,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2021-10-12,,,0.6667000000000001,1
4319,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2021-10-27,,,0.6667000000000001,1
4349,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2021-11-11,,,0.6667000000000001,1
4379,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2021-11-26,,,0.6667000000000001,1
4409,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2021-12-11,,,0.6667000000000001,1
4439,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2021-12-26,,,0.6667000000000001,1
4469,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2022-01-10,,,0.6667000000000001,1
4499,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2022-01-25,,,0.6667000000000001,1
4529,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2022-02-09,,,0.6667000000000001,1
4559,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2022-02-24,,,0.6667000000000001,1
899,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2022-03-01,,,0.6667000000000001,1
2519,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2022-03-16,,,0.6667000000000001,1
2549,30,Arizona,0.8395,0.6667000000000001,1.0,0.8395,0.8395,0.75,2022-03-31,,,0.6667000000000001,1
