Rank,Team,2023,Last 3,Last 1,Home,Away,2022,date,2024,2025
1,Atlanta,60.84%,100.00%,100.00%,51.81%,69.88%,75.30%,2024-03-01,,
2,LA Dodgers,61.82%,100.00%,100.00%,60.24%,63.41%,65.06%,2024-03-01,,
3,Tampa Bay,62.80%,66.67%,100.00%,60.24%,65.43%,71.95%,2024-03-01,,
4,San Diego,62.96%,66.67%,100.00%,62.03%,63.86%,73.56%,2024-03-01,,
5,Houston,64.16%,0.00%,0.00%,63.22%,65.12%,65.71%,2024-03-01,,
6,Arizona,65.92%,100.00%,100.00%,65.91%,65.93%,74.07%,2024-03-01,,
7,Milwaukee,67.68%,0.00%,0.00%,62.65%,72.84%,70.37%,2024-03-01,,
8,Boston,67.90%,100.00%,100.00%,56.79%,79.01%,73.46%,2024-03-01,,
8,Washington,67.90%,33.33%,0.00%,67.50%,68.29%,72.22%,2024-03-01,,
10,Philadelphia,68.57%,66.67%,100.00%,67.42%,69.77%,73.18%,2024-03-01,,
11,St. Louis,69.75%,66.67%,100.00%,67.09%,72.29%,68.29%,2024-03-01,,
11,Kansas City,69.75%,33.33%,100.00%,62.96%,76.54%,73.46%,2024-03-01,,
13,Cincinnati,70.37%,33.33%,0.00%,62.96%,77.78%,76.54%,2024-03-01,,
13,Chi Cubs,70.37%,66.67%,100.00%,61.73%,79.01%,68.52%,2024-03-01,,
15,Texas,70.39%,100.00%,100.00%,60.92%,79.35%,72.22%,2024-03-01,,
16,Seattle,71.60%,100.00%,100.00%,67.90%,75.31%,65.27%,2024-03-01,,
17,Minnesota,72.02%,33.33%,0.00%,69.41%,74.70%,66.67%,2024-03-01,,
18,Colorado,72.22%,100.00%,100.00%,74.07%,70.37%,73.46%,2024-03-01,,
18,SF Giants,72.22%,66.67%,100.00%,74.07%,70.37%,75.93%,2024-03-01,,
20,Baltimore,72.73%,66.67%,100.00%,67.47%,78.05%,78.40%,2024-03-01,,
